lon,lat,id,date,month,species
-115.5433,28.1082,2002BCS-00840,01/09/2002,9,blue_whale
-122.8808,37.44892,2004CA-00832,29/07/2004,7,blue_whale
-123.3162,37.8193,2004CA-00832,01/08/2004,8,blue_whale
-120.1039,34.15631,2004CA-00834,12/08/2004,8,blue_whale
-118.5824,31.50175,2004CA-00834,01/09/2004,9,blue_whale
-112.8965,23.73032,2004CA-00834,01/10/2004,10,blue_whale
-108.6239,24.41057,2004CA-00840,01/01/2005,1,blue_whale
-111.4408,26.9187,2004CA-00840,01/02/2005,2,blue_whale
-110.1128,25.83268,2004CA-00840,01/03/2005,3,blue_whale
-113.0281,26.05396,2004CA-00840,01/04/2005,4,blue_whale
-120.4816,34.06051,2004CA-00840,01/05/2005,5,blue_whale
-121.6096,35.72938,2004CA-00840,01/06/2005,6,blue_whale
-120.4378,34.31311,2004CA-00840,01/07/2005,7,blue_whale
-123.0884,37.42057,2004CA-00840,20/08/2004,8,blue_whale
-124.4604,41.4209,2004CA-00840,01/09/2004,9,blue_whale
-124.3393,41.17146,2004CA-00840,01/10/2004,10,blue_whale
-124.6632,40.53992,2004CA-00840,01/11/2004,11,blue_whale
-111.3474,23.09458,2004CA-00840,01/12/2004,12,blue_whale
-120.1693,34.17737,2004CA-00849,12/08/2004,8,blue_whale
-120.9639,34.66868,2004CA-00849,01/09/2004,9,blue_whale
-122.5298,35.53695,2004CA-00849,01/10/2004,10,blue_whale
-123.5778,37.95391,2004CA-00849,01/11/2004,11,blue_whale
-119.5657,34.11606,2004CA-01389,13/08/2004,8,blue_whale
-120.7104,34.0871,2004CA-01389,01/09/2004,9,blue_whale
-122.8947,37.43316,2004CA-01389,01/10/2004,10,blue_whale
-123.4679,38.5607,2004CA-01389,01/11/2004,11,blue_whale
-123.0877,37.42516,2004CA-04175,20/08/2004,8,blue_whale
-123.7618,38.07335,2004CA-04175,01/09/2004,9,blue_whale
-124.7401,42.61989,2004CA-04175,01/10/2004,10,blue_whale
-124.3083,35.51934,2004CA-04175,01/11/2004,11,blue_whale
-107.0988,15.3455,2004CA-04175,01/12/2004,12,blue_whale
-120.1015,34.1984,2004CA-10820,12/08/2004,8,blue_whale
-120.8594,34.39501,2004CA-10820,01/09/2004,9,blue_whale
-109.0462,23.78673,2004CA-10821,01/01/2005,1,blue_whale
-120.1235,34.12866,2004CA-10821,12/08/2004,8,blue_whale
-124.0232,39.7318,2004CA-10821,01/09/2004,9,blue_whale
-124.3247,39.91532,2004CA-10821,01/10/2004,10,blue_whale
-124.4369,44.78254,2004CA-10821,01/11/2004,11,blue_whale
-117.0636,32.08013,2004CA-10821,01/12/2004,12,blue_whale
-123.0984,37.45044,2004CA-10825,19/08/2004,8,blue_whale
-123.1064,37.48664,2004CA-10831,19/08/2004,8,blue_whale
-122.6669,37.25205,2004CA-10831,01/09/2004,9,blue_whale
-122.3478,33.64915,2004CA-10831,01/10/2004,10,blue_whale
-123.2883,37.79196,2004CA-10833,02/08/2004,8,blue_whale
-123.9399,39.40644,2004CA-10833,01/09/2004,9,blue_whale
-126.8104,49.16046,2004CA-10833,01/10/2004,10,blue_whale
-120.1765,34.16167,2004CA-10834,12/08/2004,8,blue_whale
-123.3276,37.49397,2004CA-10834,01/09/2004,9,blue_whale
-123.8848,39.55093,2004CA-10834,01/10/2004,10,blue_whale
-124.1875,40.05741,2004CA-10834,01/11/2004,11,blue_whale
-124.5383,22.30105,2004CA-10843,01/01/2005,1,blue_whale
-123.1141,37.74618,2004CA-10843,03/08/2004,8,blue_whale
-121.4086,33.24199,2004CA-10843,01/09/2004,9,blue_whale
-124.6904,42.67846,2004CA-10843,01/10/2004,10,blue_whale
-124.6433,43.9811,2004CA-10843,01/11/2004,11,blue_whale
-133.916,38.94136,2004CA-10843,01/12/2004,12,blue_whale
-120.012,34.09474,2004CA-23030,13/08/2004,8,blue_whale
-123.5844,38.13556,2004CA-23034,01/01/2005,1,blue_whale
-123.265,37.78765,2004CA-23034,03/08/2004,8,blue_whale
-123.6288,37.90734,2004CA-23034,01/09/2004,9,blue_whale
-123.5125,38.02794,2004CA-23034,01/10/2004,10,blue_whale
-123.506,38.09408,2004CA-23034,01/11/2004,11,blue_whale
-123.4356,38.07559,2004CA-23034,01/12/2004,12,blue_whale
-120.1576,34.18623,2004CA-23043,07/08/2004,8,blue_whale
-120.5939,34.22402,2004CA-23043,01/09/2004,9,blue_whale
-120.5912,34.11404,2004CA-23043,01/10/2004,10,blue_whale
-121.9287,36.6355,2005CA-00834,19/08/2005,8,blue_whale
-124.2838,40.12128,2005CA-00834,01/09/2005,9,blue_whale
-124.4881,42.49913,2005CA-00834,01/10/2005,10,blue_whale
-123.7892,38.77342,2005CA-00834,01/11/2005,11,blue_whale
-121.9797,36.71496,2005CA-00845,16/08/2005,8,blue_whale
-124.4774,40.53935,2005CA-00845,01/09/2005,9,blue_whale
-122.0001,36.69226,2005CA-00849,14/08/2005,8,blue_whale
-121.2759,35.30266,2005CA-00849,01/09/2005,9,blue_whale
-120.8963,34.93976,2005CA-00849,01/10/2005,10,blue_whale
-122.0119,36.6799,2005CA-01388,15/08/2005,8,blue_whale
-122.2325,34.26883,2005CA-01388,01/09/2005,9,blue_whale
-122.0165,36.57744,2005CA-01389,14/08/2005,8,blue_whale
-122.5933,35.30041,2005CA-01389,01/09/2005,9,blue_whale
-122.9977,34.67532,2005CA-01389,01/10/2005,10,blue_whale
-94.73894,8.71524,2005CA-01390,01/01/2006,1,blue_whale
-93.18142,8.464648,2005CA-01390,01/02/2006,2,blue_whale
-95.31501,11.45651,2005CA-01390,01/03/2006,3,blue_whale
-112.6748,25.35254,2005CA-01390,01/04/2006,4,blue_whale
-122.0005,36.6694,2005CA-01390,18/08/2005,8,blue_whale
-121.9637,36.17363,2005CA-01390,01/09/2005,9,blue_whale
-121.6474,34.09023,2005CA-01390,01/10/2005,10,blue_whale
-107.2098,19.37117,2005CA-01390,01/11/2005,11,blue_whale
-93.47111,10.496069,2005CA-01390,01/12/2005,12,blue_whale
-121.9745,36.71305,2005CA-02082,19/08/2005,8,blue_whale
-122.0034,36.68961,2005CA-10820,15/08/2005,8,blue_whale
-120.3292,33.71117,2005CA-10820,01/09/2005,9,blue_whale
-129.1287,17.05714,2005CA-10821,01/01/2006,1,blue_whale
-109.7535,5.314372,2005CA-10821,01/02/2006,2,blue_whale
-121.9923,36.55466,2005CA-10821,14/08/2005,8,blue_whale
-116.7168,31.34661,2005CA-10821,01/09/2005,9,blue_whale
-116.7276,31.50549,2005CA-10821,01/10/2005,10,blue_whale
-116.8297,31.74962,2005CA-10821,01/11/2005,11,blue_whale
-134.5426,35.30163,2005CA-10821,01/12/2005,12,blue_whale
-122,36.68509,2005CA-10823,15/08/2005,8,blue_whale
-122.8748,36.34591,2005CA-10823,01/09/2005,9,blue_whale
-122.1312,34.99372,2005CA-10823,01/10/2005,10,blue_whale
-116.4372,30.9488,2005CA-10823,01/11/2005,11,blue_whale
-122.0001,36.6719,2005CA-10826,16/08/2005,8,blue_whale
-121.3241,34.9713,2005CA-10826,01/09/2005,9,blue_whale
-118.8833,33.25766,2005CA-10826,01/10/2005,10,blue_whale
-124.1599,33.95488,2005CA-10829,01/01/2006,1,blue_whale
-109.7225,20.98157,2005CA-10829,01/02/2006,2,blue_whale
-121.514,35.52798,2005CA-10829,07/08/2005,8,blue_whale
-122.4638,36.73895,2005CA-10829,01/09/2005,9,blue_whale
-124.3063,40.84279,2005CA-10829,01/10/2005,10,blue_whale
-124.4526,41.79695,2005CA-10829,01/11/2005,11,blue_whale
-127.4894,48.71872,2005CA-10829,01/12/2005,12,blue_whale
-121.9995,36.53162,2005CA-10830,14/08/2005,8,blue_whale
-122.4235,36.74402,2005CA-10830,01/09/2005,9,blue_whale
-126.1769,43.71759,2005CA-10830,01/10/2005,10,blue_whale
-124.0572,39.60393,2005CA-10830,01/11/2005,11,blue_whale
-123.7208,38.24883,2005CA-10830,01/12/2005,12,blue_whale
-121.4821,35.55899,2005CA-10833,06/08/2005,8,blue_whale
-121.6445,35.20855,2005CA-10833,01/09/2005,9,blue_whale
-121.7951,35.66861,2005CA-10833,01/10/2005,10,blue_whale
-120.5997,34.07327,2006CA-00832,12/09/2006,9,blue_whale
-120.9933,33.76146,2006CA-00832,01/10/2006,10,blue_whale
-114.747,28.47314,2006CA-00832,01/11/2006,11,blue_whale
-103.4045,14.59482,2006CA-00832,01/12/2006,12,blue_whale
-120.6003,34.06983,2006CA-00838,12/09/2006,9,blue_whale
-119.6151,31.52396,2006CA-00838,01/10/2006,10,blue_whale
-107.1283,19.23815,2006CA-00838,01/11/2006,11,blue_whale
-95.81792,9.294251,2006CA-02083,01/01/2007,1,blue_whale
-98.45705,10.069825,2006CA-02083,01/02/2007,2,blue_whale
-92.07724,7.278799,2006CA-02083,01/03/2007,3,blue_whale
-91.59041,9.302888,2006CA-02083,01/04/2007,4,blue_whale
-107.0449,18.74517,2006CA-02083,01/05/2007,5,blue_whale
-116.931,30.28631,2006CA-02083,01/06/2007,6,blue_whale
-120.6016,34.09443,2006CA-02083,14/09/2006,9,blue_whale
-116.8196,31.63358,2006CA-02083,01/10/2006,10,blue_whale
-116.1294,28.26764,2006CA-02083,01/11/2006,11,blue_whale
-102.7782,12.88592,2006CA-02083,01/12/2006,12,blue_whale
-112.4445,28.49851,2006CA-04175,01/01/2007,1,blue_whale
-114.1843,30.70378,2006CA-04175,01/02/2007,2,blue_whale
-113.8616,30.44988,2006CA-04175,01/03/2007,3,blue_whale
-114.2011,27.10434,2006CA-04175,01/04/2007,4,blue_whale
-115.5518,28.85684,2006CA-04175,01/05/2007,5,blue_whale
-117.5061,31.45612,2006CA-04175,01/06/2007,6,blue_whale
-118.2105,31.44556,2006CA-04175,01/07/2007,7,blue_whale
-118.5935,32.36096,2006CA-04175,01/08/2007,8,blue_whale
-112.9999,29.07392,2006CA-04175,20/12/2006,12,blue_whale
-115.6329,28.40845,2006CA-10831,01/01/2007,1,blue_whale
-114.7516,19.75759,2006CA-10831,01/02/2007,2,blue_whale
-121.8634,27.95388,2006CA-10831,01/03/2007,3,blue_whale
-137.0827,40.19147,2006CA-10831,01/04/2007,4,blue_whale
-115.1478,28.79703,2006CA-10831,01/05/2007,5,blue_whale
-117.1828,32.24366,2006CA-10831,01/06/2007,6,blue_whale
-120.6027,34.11817,2006CA-10831,14/09/2006,9,blue_whale
-121.0828,34.31281,2006CA-10831,01/10/2006,10,blue_whale
-115.4397,29.22531,2006CA-10831,01/11/2006,11,blue_whale
-115.4569,28.23456,2006CA-10831,01/12/2006,12,blue_whale
-120.6004,34.11857,2006CA-10839,14/09/2006,9,blue_whale
-124.6357,38.0297,2006CA-10839,01/10/2006,10,blue_whale
-99.46098,12.716655,2006CA-10840,01/01/2007,1,blue_whale
-97.22184,9.730746,2006CA-10840,01/02/2007,2,blue_whale
-95.11759,11.415175,2006CA-10840,01/03/2007,3,blue_whale
-105.9584,19.13824,2006CA-10840,01/04/2007,4,blue_whale
-120.6,34.10885,2006CA-10840,14/09/2006,9,blue_whale
-117.6757,30.43752,2006CA-10840,01/10/2006,10,blue_whale
-111.9063,23.00273,2006CA-10840,01/11/2006,11,blue_whale
-108.1474,21.3812,2006CA-10840,01/12/2006,12,blue_whale
-115.1929,27.56782,2007CA-00831,01/01/2008,1,blue_whale
-108.3869,23.21487,2007CA-00831,01/02/2008,2,blue_whale
-120.0403,34.13914,2007CA-00831,07/09/2007,9,blue_whale
-120.4383,34.27452,2007CA-00831,01/10/2007,10,blue_whale
-116.8839,31.67989,2007CA-00831,01/11/2007,11,blue_whale
-115.5677,27.93728,2007CA-00831,01/12/2007,12,blue_whale
-120.0713,34.1196,2007CA-00835,09/09/2007,9,blue_whale
-124.5308,39.63989,2007CA-00835,01/10/2007,10,blue_whale
-120.095,34.12173,2007CA-00836,17/09/2007,9,blue_whale
-118.954,33.4982,2007CA-00836,01/10/2007,10,blue_whale
-120.2365,33.95666,2007CA-00836,01/11/2007,11,blue_whale
-115.3067,29.02367,2007CA-00847,01/01/2008,1,blue_whale
-116.4873,31.08997,2007CA-00847,02/12/2007,12,blue_whale
-125.4338,33.55101,2007CA-01385,01/01/2008,1,blue_whale
-114.4484,24.35505,2007CA-01385,01/02/2008,2,blue_whale
-107.5585,20.36001,2007CA-01385,01/03/2008,3,blue_whale
-120.0247,34.14765,2007CA-01385,07/09/2007,9,blue_whale
-136.5069,45.82304,2007CA-01385,01/10/2007,10,blue_whale
-146.4911,49.81677,2007CA-01385,01/11/2007,11,blue_whale
-133.0577,47.4507,2007CA-01385,01/12/2007,12,blue_whale
-119.9731,34.14607,2007CA-04172,06/09/2007,9,blue_whale
-122.6661,36.16514,2007CA-04172,01/10/2007,10,blue_whale
-110.2046,21.01726,2007CA-04174,01/01/2008,1,blue_whale
-115.131,20.75104,2007CA-04174,01/02/2008,2,blue_whale
-111.1431,23.64016,2007CA-04174,01/03/2008,3,blue_whale
-112.5944,26.03173,2007CA-04174,01/04/2008,4,blue_whale
-119.925,34.15414,2007CA-04174,06/09/2007,9,blue_whale
-120.6202,34.38406,2007CA-04174,01/10/2007,10,blue_whale
-112.869,23.10069,2007CA-04174,01/11/2007,11,blue_whale
-112.3053,20.97918,2007CA-04174,01/12/2007,12,blue_whale
-96.93396,10.047673,2007CA-05670,01/01/2008,1,blue_whale
-115.7587,29.41834,2007CA-05670,16/10/2007,10,blue_whale
-111.166,21.5537,2007CA-05670,01/11/2007,11,blue_whale
-110.8145,21.80183,2007CA-05670,01/12/2007,12,blue_whale
-96.80948,9.370151,2007CA-05801,01/01/2008,1,blue_whale
-93.98595,9.098306,2007CA-05801,01/02/2008,2,blue_whale
-119.9973,34.14075,2007CA-05801,17/09/2007,9,blue_whale
-119.5523,34.0967,2007CA-05801,01/10/2007,10,blue_whale
-118.5843,33.85951,2007CA-05801,01/11/2007,11,blue_whale
-100.03884,10.562676,2007CA-05801,01/12/2007,12,blue_whale
-115.3194,29.03748,2007CA-10836,01/01/2008,1,blue_whale
-113.7854,25.69619,2007CA-10836,01/02/2008,2,blue_whale
